Paragraph,CF – Contribution flow,CT – Choose a task,TC – Talk to the community,BW – Build local workspace,DC – Deal with the code,SC – Submit the changes,Filename,Paragraph Index,Document
Code...,0,0,0,0,0,1,aws@aws-cdk.xlsx,243,contributing
"Now to test, you can either use yarn test or invoke nodeunit/jest directly:",0,0,0,0,0,1,aws@aws-cdk.xlsx,244,contributing
Running nodeunit tests directly on a module,0,0,0,0,0,1,aws@aws-cdk.xlsx,245,contributing
"$ cd packages/@aws-cdk/aws-iam
$ nodeunit test/test.*.js
<BOOM>",0,0,0,0,0,1,aws@aws-cdk.xlsx,246,contributing
Running jest tests directly on a module,0,0,0,0,0,1,aws@aws-cdk.xlsx,247,contributing
"$ cd packages/@aws-cdk/aws-iam
$ jest test/*test.js
<BOOM>",0,0,0,0,0,1,aws@aws-cdk.xlsx,248,contributing
Linking against this repository,0,0,0,0,0,1,aws@aws-cdk.xlsx,249,contributing
"The script ./link-all.sh can be used to generate symlinks to all modules in this repository under some node_module
directory. This can be used to develop against this repo as a local dependency.",0,0,0,0,0,1,aws@aws-cdk.xlsx,250,contributing
One can use the postinstall script to symlink this repo:,0,0,0,0,0,1,aws@aws-cdk.xlsx,251,contributing
"{
""scripts"": {
""postinstall"": ""../aws-cdk/link-all.sh""
}
}",0,0,0,0,0,1,aws@aws-cdk.xlsx,252,contributing
"This assumes this repo is a sibling of the target repo and will install the CDK as a linked dependency during
yarn install.",0,0,0,0,0,1,aws@aws-cdk.xlsx,253,contributing
Running integration tests in parallel,0,0,0,0,0,1,aws@aws-cdk.xlsx,254,contributing
"Integration tests may take a long time to complete. We can speed this up by running them in parallel
in different regions.",0,0,0,0,0,1,aws@aws-cdk.xlsx,255,contributing
"# Install GNU parallel (may require uninstall 'moreutils' if you have it)
$ apt-get install parallel
$ brew install parallel",0,0,0,0,0,1,aws@aws-cdk.xlsx,256,contributing
$ scripts/run-integ-parallel @aws-cdk/aws-ec2 @aws-cdk/aws-autoscaling ...,0,0,0,0,0,1,aws@aws-cdk.xlsx,257,contributing
Visualizing dependencies in a CloudFormation Template,0,0,0,0,0,1,aws@aws-cdk.xlsx,258,contributing
Use GraphViz with template-deps-to-dot:,0,0,0,0,0,1,aws@aws-cdk.xlsx,259,contributing
$ cdk -a some.app.js synth | $awscdk/scripts/template-deps-to-dot | dot -Tpng > deps.png,0,0,0,0,0,1,aws@aws-cdk.xlsx,260,contributing
Adding Dependencies,0,0,0,0,0,1,aws@aws-cdk.xlsx,261,contributing
"The root package.json includes global devDependencies (see
lerna docs) on the topic.",0,0,0,0,0,1,aws@aws-cdk.xlsx,262,contributing
"- To add a global dependency, run yarn add <dep> --dev at  the root.",0,0,0,0,0,1,aws@aws-cdk.xlsx,263,contributing
"- To add a dependency for a specific module, run yarn add <dep> inside the module's directory.",0,0,0,0,0,1,aws@aws-cdk.xlsx,264,contributing
Guidelines:,0,0,0,0,0,1,aws@aws-cdk.xlsx,265,contributing
"- We cannot accept dependencies that use non-permissive open source licenses (Apache, MIT, etc).",0,0,0,0,0,1,aws@aws-cdk.xlsx,266,contributing
"- Make sure dependencies are defined using caret
ranges (e.g. ^1.2.3). This enables non-breaking
updates to automatically be picked up.",0,0,0,0,0,1,aws@aws-cdk.xlsx,267,contributing
- Make sure yarn.lock is included in your commit.,0,0,0,0,0,1,aws@aws-cdk.xlsx,268,contributing
Finding dependency cycles between packages,0,0,0,0,0,1,aws@aws-cdk.xlsx,269,contributing
You can use find-cycles to print a list of internal dependency cycles:,0,0,0,0,0,0,aws@aws-cdk.xlsx,270,contributing
"$ scripts/find-cycles.sh
Cycle: @aws-cdk/aws-iam => @aws-cdk/assert => aws-cdk => @aws-cdk/aws-s3 => @aws-cdk/aws-kms => @aws-cdk/aws-iam
Cycle: @aws-cdk/assert => aws-cdk => @aws-cdk/aws-s3 => @aws-cdk/aws-kms => @aws-cdk/assert
Cycle: @aws-cdk/aws-iam => @aws-cdk/assert => aws-cdk => @aws-cdk/aws-s3 => @aws-cdk/aws-iam
Cycle: @aws-cdk/assert => aws-cdk => @aws-cdk/aws-s3 => @aws-cdk/assert
Cycle: @aws-cdk/assert => aws-cdk => @aws-cdk/aws-cloudformation => @aws-cdk/assert
Cycle: @aws-cdk/aws-iam => @aws-cdk/assert => aws-cdk => @aws-cdk/util => @aws-cdk/aws-iam
Cycle: @aws-cdk/aws-sns => @aws-cdk/aws-lambda => @aws-cdk/aws-codecommit => @aws-cdk/aws-sns
Cycle: @aws-cdk/aws-sns => @aws-cdk/aws-lambda => @aws-cdk/aws-codecommit => @aws-cdk/aws-codepipeline => @aws-cdk/aws-sns",0,0,0,0,0,0,aws@aws-cdk.xlsx,271,contributing
Updating all Dependencies,0,0,0,1,0,0,aws@aws-cdk.xlsx,272,contributing
To update all dependencies (without bumping major versions):,0,0,0,1,0,0,aws@aws-cdk.xlsx,273,contributing
"1.  Obtain a fresh clone from ""master"".",0,0,0,1,0,0,aws@aws-cdk.xlsx,274,contributing
2.  Run yarn install,0,0,0,1,0,0,aws@aws-cdk.xlsx,275,contributing
3.  Run ./scripts/update-dependencies.sh --mode full (use --mode semver to avoid bumping major versions),0,0,0,1,0,0,aws@aws-cdk.xlsx,276,contributing
4.  Submit a Pull Request.,0,0,0,0,0,0,aws@aws-cdk.xlsx,277,contributing
Running CLI integration tests,0,0,0,0,0,1,aws@aws-cdk.xlsx,278,contributing
"The CLI package (packages/aws-cdk) has some integration tests that aren't
run as part of the regular build, since they have some particular requirements.
See the CLI CONTRIBUTING.md file for
more information on running those tests.",0,0,0,0,0,1,aws@aws-cdk.xlsx,279,contributing
Changing Cloud Assembly Schema,1,0,0,0,0,0,aws@aws-cdk.xlsx,280,contributing
"If you plan on making changes to the cloud-assembly-schema package, make sure you familiarize yourself with
its own contribution guide",1,0,0,0,0,0,aws@aws-cdk.xlsx,281,contributing
API Compatibility Checks,0,0,0,1,0,0,aws@aws-cdk.xlsx,282,contributing
"All stable APIs in the CDK go through a compatibility check during build using
the jsii-diff tool. This tool downloads the latest released version from npm
and verifies that the APIs in the current build have not changed in a breaking
way.",0,0,0,1,0,0,aws@aws-cdk.xlsx,283,contributing
Compatibility checks always run as part of a full build (yarn build).,0,0,0,0,0,0,aws@aws-cdk.xlsx,284,contributing
You can use yarn compat to run compatibility checks for all modules:,0,0,0,1,0,0,aws@aws-cdk.xlsx,285,contributing
"(working directory is repo root)
$ yarn build
$ yarn compat",0,0,0,1,0,0,aws@aws-cdk.xlsx,286,contributing
You can also run compat from individual package directories:,0,0,0,1,0,0,aws@aws-cdk.xlsx,287,contributing
"$ cd packages/@aws-cdk/aws-sns
$ yarn build
$ yarn compat",0,0,0,1,0,0,aws@aws-cdk.xlsx,288,contributing
"The only case where it is legitimate to break a public API is if the existing
API is a bug that blocked the usage of a feature. This means that by breaking
this API we will not break anyone, because they weren't able to use it. The file
allowed-breaking-changes.txt in the root of the repo is an exclusion file that
can be used in these cases.",0,0,0,0,0,0,aws@aws-cdk.xlsx,289,contributing
Examples,0,0,0,0,0,0,aws@aws-cdk.xlsx,290,contributing
"Examples typed in fenced code blocks (looking like '''ts, but then with backticks
instead of regular quotes) will be automatically extrated, compiled and translated
to other languages when the bindings are generated.",0,0,0,0,0,0,aws@aws-cdk.xlsx,291,contributing
"To successfully do that, they must be compilable. The easiest way to do that is using
a fixture, which looks like this:",0,0,0,0,0,0,aws@aws-cdk.xlsx,292,contributing
"'''ts fixture=with-bucket
bucket.addLifecycleTransition({ ... });
'''",0,0,0,0,0,0,aws@aws-cdk.xlsx,293,contributing
"While processing the examples, the tool will look for a file called
rosetta/with-bucket.ts-fixture in the package directory. This file will be
treated as a regular TypeScript source file, but it must also contain the text
/// here, at which point the example will be inserted. The complete file must
compile properly.",0,0,0,0,0,0,aws@aws-cdk.xlsx,294,contributing
"Before the /// here marker, the fixture should import the necessary packages
and initialize the required variables.",0,0,0,0,0,0,aws@aws-cdk.xlsx,295,contributing
"If no fixture is specified, the fixture with the name
rosetta/default.ts-fixture will be used if present. nofixture can be used to
opt out of that behavior.",0,0,0,0,0,0,aws@aws-cdk.xlsx,296,contributing
"In an @example block, which is unfenced, the first line of the example can
contain three slashes to achieve the same effect:",0,0,0,0,0,0,aws@aws-cdk.xlsx,297,contributing
/**,0,0,0,0,0,0,aws@aws-cdk.xlsx,298,contributing
* @example,0,0,0,0,0,0,aws@aws-cdk.xlsx,299,contributing
* /// fixture=with-bucket,0,0,0,0,0,0,aws@aws-cdk.xlsx,300,contributing
* bucket.addLifecycleTransition({ ... });,0,0,0,0,0,0,aws@aws-cdk.xlsx,301,contributing
*/,0,0,0,0,0,0,aws@aws-cdk.xlsx,302,contributing
"When including packages in your examples (even the package you're writing the
examples for), use the full package name (e.g. import s3 = require('@aws-cdk/aws-s3);). The example will be compiled in an environment
where all CDK packages are available using their public names. In this way,
it's also possible to import packages that are not in the dependency set of
the current package.",0,0,0,0,0,0,aws@aws-cdk.xlsx,303,contributing
"For a practical example of how making sample code compilable works, see the
aws-ec2 package.",0,0,0,0,0,0,aws@aws-cdk.xlsx,304,contributing
"Examples of all packages are extracted and compiled as part of the packaging
step. If you are working on getting rid of example compilation errors of a
single package, you can run scripts/compile-samples on the package by itself.",0,0,0,0,0,0,aws@aws-cdk.xlsx,305,contributing
"For now, non-compiling examples will not yet block the build, but at some point
in the future they will.",0,0,0,0,0,0,aws@aws-cdk.xlsx,306,contributing
Feature Flags,0,0,0,0,0,0,aws@aws-cdk.xlsx,307,contributing
"Sometimes we want to introduce new breaking behavior because we believe this is
the correct default behavior for the CDK. The problem of course is that breaking
changes are only allowed in major versions and those are rare.",0,0,0,0,0,0,aws@aws-cdk.xlsx,308,contributing
"To address this need, we have a feature flags pattern/mechanism. It allows us to
introduce new breaking behavior which is disabled by default (so existing
projects will not be affected) but enabled automatically for new projects
created through cdk init.",0,0,0,0,0,0,aws@aws-cdk.xlsx,309,contributing
The pattern is simple:,0,0,0,0,0,0,aws@aws-cdk.xlsx,310,contributing
"1.  Define a new const under
cx-api/lib/features.ts
with the name of the context key that enables this new feature (for
example, ENABLE_STACK_NAME_DUPLICATES). The context key should be in the
form module.Type:feature (e.g. @aws-cdk/core:enableStackNameDuplicates).",0,0,0,0,0,0,aws@aws-cdk.xlsx,311,contributing
"2.  Use node.tryGetContext(cxapi.ENABLE_XXX) to check if this feature is enabled
in your code. If it is not defined, revert to the legacy behavior.",0,0,0,0,0,0,aws@aws-cdk.xlsx,312,contributing
"3.  Add your feature flag to the FUTURE_FLAGS map in
cx-api/lib/features.ts.
This map is inserted to generated cdk.json files for new projects created
through cdk init.",0,0,0,0,0,0,aws@aws-cdk.xlsx,313,contributing
"4.  In your PR title (which goes into CHANGELOG), add a (under feature flag) suffix. e.g:",0,0,0,0,0,0,aws@aws-cdk.xlsx,314,contributing
fix(core): impossible to use the same physical stack name for two stacks (under feature flag),0,0,0,0,0,0,aws@aws-cdk.xlsx,315,contributing
5.  Under BREAKING CHANGES in your commit message describe this new behavior:,0,0,0,0,0,0,aws@aws-cdk.xlsx,316,contributing
"BREAKING CHANGE: template file names for new projects created through ""cdk init""
will use the template artifact ID instead of the physical stack name to enable
multiple stacks to use the same name. This is enabled through the flag
`@aws-cdk/core:enableStackNameDuplicates` in newly generated `cdk.json` files.",0,0,0,0,0,0,aws@aws-cdk.xlsx,317,contributing
"In the next major version of the
CDK we will either remove the
legacy behavior or flip the logic for all these features and then
reset the FEATURE_FLAGS map for the next cycle.",0,0,0,0,0,0,aws@aws-cdk.xlsx,318,contributing
Versioning,0,0,0,0,1,0,aws@aws-cdk.xlsx,319,contributing
"All package.json files in this repo use a stable marker version of 0.0.0.
This means that when you declare dependencies, you should always use 0.0.0.
This makes it easier for us to bump a new version (the bump.sh script will
just update the central version and create a CHANGELOG entry) and also reduces
the chance of merge conflicts after a new version is released.",0,0,0,0,1,0,aws@aws-cdk.xlsx,320,contributing
Additional scripts that take part in the versioning mechanism:,0,0,0,0,1,0,aws@aws-cdk.xlsx,321,contributing
"- scripts/get-version.js can be used to obtain the actual version of the repo.
You can use either from JavaScript code by require('./scripts/get-version')
or from a shell script node -p ""require('./scripts/get-version')"".",0,0,0,0,1,0,aws@aws-cdk.xlsx,322,contributing
"- scripts/get-version-marker.js returns 0.0.0 and used to DRY the version
marker.",0,0,0,0,1,0,aws@aws-cdk.xlsx,323,contributing
"- scripts/align-version.sh and scripts/align-version.js are used to align
all package.json files in the repo to the official version. This script is
invoked in CI builds and should not be used inside a development environment.",0,0,0,0,1,0,aws@aws-cdk.xlsx,324,contributing
Troubleshooting,0,0,0,1,0,0,aws@aws-cdk.xlsx,325,contributing
Most build issues can be solved by doing a full clean rebuild:,0,0,0,1,0,0,aws@aws-cdk.xlsx,326,contributing
"$ git clean -fqdx .
$ yarn build",0,0,0,1,0,0,aws@aws-cdk.xlsx,327,contributing
"However, this will be time consuming. In this section we'll describe some common issues you may encounter and some more
targeted commands you can run to resolve your issue.",0,0,0,1,0,0,aws@aws-cdk.xlsx,328,contributing
"- The compiler is throwing errors on files that I renamed/it's running old tests that I meant to remove/code coverage is
low and I didn't change anything.",0,0,0,1,0,0,aws@aws-cdk.xlsx,329,contributing
"If you switch to a branch in which .ts files got renamed or deleted, the generated .js and .d.ts files from the
previous compilation run are still around and may in some cases still be picked up by the compiler or test runners.",0,0,0,1,0,0,aws@aws-cdk.xlsx,330,contributing
Run the following to clear out stale build artifacts:,0,0,0,1,0,0,aws@aws-cdk.xlsx,331,contributing
$ scripts/clean-stale-files.sh,0,0,0,1,0,0,aws@aws-cdk.xlsx,332,contributing
- I added a dependency but it's not being picked up by the build,0,0,0,1,0,0,aws@aws-cdk.xlsx,333,contributing
You need to tell Lerna to update all dependencies:,0,0,0,1,0,0,aws@aws-cdk.xlsx,334,contributing
$ node_modules/.bin/lerna bootstrap,0,0,0,1,0,0,aws@aws-cdk.xlsx,335,contributing
- I added a dependency but it's not being picked up by a watch background compilation run.,0,0,0,1,0,0,aws@aws-cdk.xlsx,336,contributing
No it's not. After re-bootstrapping you need to restart the watch command.,0,0,0,1,0,0,aws@aws-cdk.xlsx,337,contributing
- I added a dependency but it's not being picked up by Visual Studio Code (I still get red underlines).,0,0,0,1,0,0,aws@aws-cdk.xlsx,338,contributing
"The TypeScript compiler that's running has cached your dependency tree. After re-bootstrapping,
restart the TypeScript compiler.",0,0,0,1,0,0,aws@aws-cdk.xlsx,339,contributing
"Hit F1, type > TypeScript: Restart TS Server.",0,0,0,1,0,0,aws@aws-cdk.xlsx,340,contributing
"- I'm doing refactorings between packages and compile times are killing me/I need to switch between
differently-verionsed branches a lot and rebuilds because of version errors are taking too long.",0,0,0,1,0,0,aws@aws-cdk.xlsx,341,contributing
"Our build steps for each package do a couple of things, such as generating code and generating JSII assemblies. If
you've done a full build at least once to generate all source files, you can do a quicker TypeScript-only rebuild of the
entire source tree by doing the following:",0,0,0,1,0,0,aws@aws-cdk.xlsx,342,contributing
"# Only works after at least one full build to generate source files
$ scripts/build-typescript.sh",0,0,0,1,0,0,aws@aws-cdk.xlsx,343,contributing
"# Also works to start a project-wide watch compile
$ scripts/build-typescript.sh -w",0,0,0,1,0,0,aws@aws-cdk.xlsx,344,contributing
"This does not do code generation and it does not do JSII checks and JSII assembly generation. Instead of doing a
package-by-package ordered build, it compiles all .ts files in the repository all at once. This takes about the same
time as it does to compile the biggest package all by itself, and on my machine is the difference between a 15
CPU-minute build and a 20 CPU-second build. If you use this methods of recompiling and you want to run the test, you
have to disable the built-in rebuild functionality of lerna run test:",0,0,0,0,0,0,aws@aws-cdk.xlsx,345,contributing
$ CDK_TEST_BUILD=false lr test,0,0,0,0,0,0,aws@aws-cdk.xlsx,346,contributing
Debugging,0,0,0,0,1,0,aws@aws-cdk.xlsx,347,contributing
Connecting the VS Code Debugger,0,0,0,0,1,0,aws@aws-cdk.xlsx,348,contributing
Note: This applies to typescript CDK application only.,0,0,0,0,1,0,aws@aws-cdk.xlsx,349,contributing
"To debug your CDK application along with the CDK repository,",0,0,0,0,1,0,aws@aws-cdk.xlsx,350,contributing
1.  Clone the CDK repository locally and build the repository. See Workflows section for the different build options.,0,0,0,0,1,0,aws@aws-cdk.xlsx,351,contributing
"2.  Build the CDK application using the appropriate npm script (typically, yarn build) and then run the link-all.sh script as so -",0,0,0,0,1,0,aws@aws-cdk.xlsx,352,contributing
"cd /path/to/cdk/app
/path/to/aws-cdk/link-all.sh",0,0,0,0,1,0,aws@aws-cdk.xlsx,353,contributing
3.  Open the CDK application (assume it's hello-cdk in these steps) and the CDK repository as a VS code multi-root workspace.,0,0,0,0,1,0,aws@aws-cdk.xlsx,354,contributing
4.  Open the workspace settings file and verify that the following two folders must already exist,0,0,0,0,1,0,aws@aws-cdk.xlsx,355,contributing
"{
""folders"": [
{ ""path"": ""<path-to-cdk-repo>/aws-cdk"" },
{ ""path"": ""<path-to-cdk-app>/hello-cdk"" }
],
}",0,0,0,0,1,0,aws@aws-cdk.xlsx,356,contributing
5.  Add the following launch configuration to the settings file -,0,0,0,0,1,0,aws@aws-cdk.xlsx,357,contributing
"""launch"": {
""configurations"": [{
""type"": ""node"",
""request"": ""launch"",
""name"": ""Debug hello-cdk"",
""program"": ""${workspaceFolder:hello-cdk}/bin/hello-cdk.js"",
""cwd"": ""${workspaceFolder:hello-cdk}"",
""console"": ""internalConsole"",
""sourceMaps"": true,
""skipFiles"": [ ""<node_internals>/**/*"" ],
""outFiles"": [
""${workspaceFolder:aws-cdk}/**/*.js"",
""${workspaceFolder:hello-cdk}/**/*.js"",
],
}]
}",0,0,0,0,1,0,aws@aws-cdk.xlsx,358,contributing
Go here for more about launch configurations.,0,0,0,0,1,0,aws@aws-cdk.xlsx,359,contributing
"6.  The debug view, should now have a launch configuration called 'Debug hello-cdk' and launching that will start the debugger.",0,0,0,0,1,0,aws@aws-cdk.xlsx,360,contributing
"7.  Any time you modify the CDK app or any of the CDK modules, they need to be re-built and depending on the change the link-all.sh script from step#2, may need to be re-run. Only then, would VS code recognize the change and potentially the breakpoint.",0,0,0,0,1,0,aws@aws-cdk.xlsx,361,contributing
Run a CDK unit test in the debugger,0,0,0,0,1,0,aws@aws-cdk.xlsx,362,contributing
"If you want to run the VSCode debugger on unit tests of the CDK project
itself, do the following:",0,0,0,0,1,0,aws@aws-cdk.xlsx,363,contributing
1.  Set a breakpoint inside your unit test.,0,0,0,0,1,0,aws@aws-cdk.xlsx,364,contributing
"2.  In your terminal, depending on the type of test, run either:",0,0,0,0,1,0,aws@aws-cdk.xlsx,365,contributing
"# (For tests names test.xxx.ts)
$ node --inspect-brk /path/to/aws-cdk/node_modules/.bin/nodeunit -t 'TESTNAME'",0,0,0,0,1,0,aws@aws-cdk.xlsx,366,contributing
"# (For tests names xxxx.test.ts)
$ node --inspect-brk /path/to/aws-cdk/node_modules/.bin/jest -i -t 'TESTNAME'",0,0,0,0,1,0,aws@aws-cdk.xlsx,367,contributing
"3.  On the Run pane of VSCode, select the run configuration Attach to NodeJS and click the button.",0,0,0,0,1,0,aws@aws-cdk.xlsx,368,contributing
Related Repositories,0,0,0,0,0,0,aws@aws-cdk.xlsx,369,contributing
- Samples: includes sample code in multiple languages,0,0,0,0,0,0,aws@aws-cdk.xlsx,370,contributing
- Workshop: source for https://cdkworkshop.com,0,0,0,0,0,0,aws@aws-cdk.xlsx,371,contributing
- Developer Guide: markdown source for developer guide,0,0,0,0,0,0,aws@aws-cdk.xlsx,372,contributing
"- jsii: the technology we use for multi-language support. If you are looking to help us support new languages, start there.",0,0,0,0,0,0,aws@aws-cdk.xlsx,373,contributing
Contributing,0,0,0,0,0,0,aws@aws-cli.xlsx,2,contributing
"We work hard to provide a high-quality and useful command line interface, and we greatly value feedback and contributions from our community. Whether it's a new feature, correction, or additional documentation, we welcome your pull requests. Please submit any issues or pull requests through GitHub.",0,0,0,0,0,0,aws@aws-cli.xlsx,3,contributing
This document contains guidelines for reporting issues or pull requests and contributing code.,0,0,0,0,0,0,aws@aws-cli.xlsx,4,contributing
Reporting Issues,0,0,0,0,0,0,aws@aws-cli.xlsx,5,contributing
- Check to see if there's an existing issue/pull request for the bug/feature. All issues are at https://github.com/aws/aws-cli/issues and pull reqs are at https://github.com/aws/aws-cli/pulls.,0,0,0,0,0,0,aws@aws-cli.xlsx,6,contributing
"- If there isn't an existing issue there, please file an issue. If possible, used one of the suggested issue types when creating a new issue (like a bug report of feature request). These issue types have their own template and required information. In general, the ideal report includes:",0,0,0,0,0,0,aws@aws-cli.xlsx,7,contributing
- A description of the problem/suggestion.,0,0,0,0,0,0,aws@aws-cli.xlsx,8,contributing
- The specific AWS CLI commands you are running. Please include debug logs for these commands by appending the --debug option to each command. Be sure to remove any sensitive information from the debug logs.,0,0,0,0,0,0,aws@aws-cli.xlsx,9,contributing
- The AWS CLI version you are using aws --version.,0,0,0,0,0,0,aws@aws-cli.xlsx,10,contributing
"The first thing an AWS CLI developer will do is try to reproduce the issue you are seeing, so try to reduce your issue to the smallest possible set of steps that demonstrate the issue. This will lead to quicker resolution of your issue.",0,0,0,0,0,0,aws@aws-cli.xlsx,11,contributing
Contributing Code,0,0,0,0,0,0,aws@aws-cli.xlsx,12,contributing
"The list below are guidelines to use when submitting pull requests. These are the same set of guidelines that the core contributors use when submitting changes, and we ask the same of all community contributions as well:",0,0,0,0,0,0,aws@aws-cli.xlsx,13,contributing
- The SDK is released under the Apache license. Any code you submit will be released under that license.,0,0,0,0,0,1,aws@aws-cli.xlsx,14,contributing
"- We maintain a high percentage of code coverage in our unit tests. As a general rule of thumb, code changes should not lower the overall code coverage percentage for the project. In practice, this means that every bug fix and feature addition should include tests.",0,0,0,0,0,1,aws@aws-cli.xlsx,15,contributing
"- Code should follow pep8, although if you are modifying an existing module, it is more important for the code to be consistent if there are any discrepancies. Using flake8 can assist in identifying pep8 compliance issues.",0,0,0,0,1,0,aws@aws-cli.xlsx,16,contributing
"- Code must work on python2.7, and python3.4 and higher.",0,0,0,1,0,0,aws@aws-cli.xlsx,17,contributing
"- The AWS CLI is cross platform and code must work on at least Linux, Windows, and Mac OS X. Avoid platform specific behavior.",0,0,0,1,0,0,aws@aws-cli.xlsx,18,contributing
"- If you would like to implement support for a significant feature that is not yet available in the AWS CLI, please talk to us beforehand to avoid any duplication of effort. You can file an issue to discuss the feature request further.",1,0,0,0,0,0,aws@aws-cli.xlsx,19,contributing
Git Commits and Workflow,0,0,0,0,0,1,aws@aws-cli.xlsx,20,contributing
"When sending a pull request, please follow these guidelines:",0,0,0,0,0,1,aws@aws-cli.xlsx,21,contributing
"- The PR should target the develop branch. If you send a PR to the master branch, the travis CI jobs will fail.",0,0,0,0,0,1,aws@aws-cli.xlsx,22,contributing
- Your PR branch should be based off a recent commit of the develop branch. Preferably the base commit for the PR should use the latest commit of develop at the time the PR was created. This helps to ensure there are no merge conflicts or test failures when the PR is merged back to the develop branch.,0,0,0,0,0,1,aws@aws-cli.xlsx,23,contributing
"- Make separate commits for logically separate changes. Avoid commits such as ""update"", ""fix typo again"", ""more updates"". Rebase your commits before submitting your PR to ensure they represent a logical change.",0,0,0,0,0,1,aws@aws-cli.xlsx,24,contributing
"- Avoid merge commits in your PRs. If you want to pull in the latest changes from the develop branch, rebase on top of the develop branch instead of merging the develop branch into your feature branch.",0,0,0,0,0,1,aws@aws-cli.xlsx,25,contributing
"Also, ensure your commit messages match this format:",0,0,0,0,0,1,aws@aws-cli.xlsx,26,contributing
Short (50 characters or less) summary,0,0,0,0,0,1,aws@aws-cli.xlsx,27,contributing
"After the 50 character summary and a blank line, you can include a body if necessary. Note that the 50 character summary does not end with any punctuation. Describe your changes in the imperative mood, e.g., ""Add foo to bar"", ""Update foo component for bar"", ""Fix race condition for foo"".",0,0,0,0,0,1,aws@aws-cli.xlsx,28,contributing
The body of the commit message can include:,0,0,0,0,0,1,aws@aws-cli.xlsx,29,contributing
* an explanation of the problem and what this change tries to solve.,0,0,0,0,0,1,aws@aws-cli.xlsx,30,contributing
* rationale behind the specific implementation,0,0,0,0,0,1,aws@aws-cli.xlsx,31,contributing
"* alternatives considered and why they were discarded, if appropriate.",0,0,0,0,0,1,aws@aws-cli.xlsx,32,contributing
Please limit the line length in the body of a commit message to 80 characters or less.,0,0,0,0,0,1,aws@aws-cli.xlsx,33,contributing
Example Git Workflow,0,0,0,0,0,1,aws@aws-cli.xlsx,34,contributing
"Below is an example of how you can use git to create a feature branch. First, make sure you've created a fork of aws/aws-cli. Then you can run these commands:",0,0,0,0,0,1,aws@aws-cli.xlsx,35,contributing
# Clone the repo and set up the remotes.,0,0,0,0,0,1,aws@aws-cli.xlsx,36,contributing
"$ git clone git@github.com:myusername/aws-cli.git
$ cd aws-cli
$ git remote add upstream https://github.com/aws/aws-cli.git
$ git fetch upstream
$ git merge upstream/develop",0,0,0,0,0,1,aws@aws-cli.xlsx,37,contributing
"# Now to create a feature branch:
$ git checkout -b my-branch-name",0,0,0,0,0,1,aws@aws-cli.xlsx,38,contributing
"# Now add your commits for your features.
$ git add path/to/my/files",0,0,0,0,0,1,aws@aws-cli.xlsx,39,contributing
"# Make sure our commit message matches format described in the
# previous section.
$ git commit -m ""Add support for foo""",0,0,0,0,0,1,aws@aws-cli.xlsx,40,contributing
"# If we want to sync with the latest upstream changes before
# sending our pull request we can run:
$ git fetch upstream
$ git rebase upstream/develop",0,0,0,0,0,1,aws@aws-cli.xlsx,41,contributing
"# When you're ready to send a PR, make sure you push your commits
# to your fork:
$ git push origin my-branch-name",0,0,0,0,0,1,aws@aws-cli.xlsx,42,contributing
"When you push to your remote, the output will contain a URL you can use to open a pull request.",0,0,0,0,0,1,aws@aws-cli.xlsx,43,contributing
CLI Development Version,0,0,0,1,0,0,aws@aws-cli.xlsx,44,contributing
"If you are interested in using the latest released version of the AWS CLI, please see the Installation section in the README. This section is for anyone who wants to install the development version of the CLI. You might need to do this if:",1,0,0,1,0,0,aws@aws-cli.xlsx,45,contributing
- You are developing a feature for the CLI and plan on submitting a Pull Request.,1,0,0,0,0,0,aws@aws-cli.xlsx,46,contributing
- You want to test the latest changes of the CLI before they make it into an official release.,1,0,0,0,0,0,aws@aws-cli.xlsx,47,contributing
The latest changes to the CLI are in the develop branch on github. This is the default branch when you clone the git repository.,0,0,0,0,0,0,aws@aws-cli.xlsx,48,contributing
"Additionally, the botocore package is developed in lockstep with the CLI.",0,0,0,0,0,0,aws@aws-cli.xlsx,49,contributing
"If you just want to install a snapshot of the latest development version of the CLI, you can use the requirements.txt file included in this repo. This file points to the development version of the above packages:",0,0,0,1,0,0,aws@aws-cli.xlsx,50,contributing
"$ cd <path_to_awscli>
$ python -m pip install -r requirements.txt
$ python -m pip install -e .",0,0,0,1,0,0,aws@aws-cli.xlsx,51,contributing
"However, to keep up to date, you will continually have to run the python -m pip install -r requirements.txt file to pull in the latest changes from the develop branch of botocore.",0,0,0,1,0,0,aws@aws-cli.xlsx,52,contributing
"You can optionally clone each of those repositories and run ""python -m pip install -e ."":",0,0,0,1,0,0,aws@aws-cli.xlsx,53,contributing
"$ git clone <botocore> && cd botocore/
$ python -m pip install -e . && cd ..
$ git clone <awscli> && cd aws-cli/
$ python -m pip install -e .",0,0,0,1,0,0,aws@aws-cli.xlsx,54,contributing
Contributing Guidelines,0,0,0,0,0,0,aws@aws-lambda-dotnet.xlsx,2,contributing
"Thank you for your interest in contributing to our project. Whether it's a bug report, new feature, correction, or additional
documentation, we greatly value feedback and contributions from our community.",0,0,0,0,0,0,aws@aws-lambda-dotnet.xlsx,3,contributing
"Please read through this document before submitting any issues or pull requests to ensure we have all the necessary
information to effectively respond to your bug report or contribution.",0,0,0,0,0,0,aws@aws-lambda-dotnet.xlsx,4,contributing
